0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 2 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 4 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 2 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 3 TD, 0 3pt FG, 0 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 1 TD, 1 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 3 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 3 TD, 1 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 2 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 4 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 2 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 1 TD, 0 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 2 TD, 0 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 3 TD, 0 3pt FG, 0 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 1 TD, 1 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 2 3pt FG, 6 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 4 3pt FG, 3 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 6 3pt FG, 0 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 1 3pt FG, 4 Safety
0 TD + 2pt, 2 TD + FG, 0 TD, 3 3pt FG, 1 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 1 TD + FG, 0 TD, 0 3pt FG, 9 Safety
0 TD + 2pt, 3 TD + FG, 0 TD, 0 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 1 3pt FG, 11 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 3 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 5 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 0 TD, 7 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 1 3pt FG, 8 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 3 3pt FG, 5 Safety
0 TD + 2pt, 0 TD + FG, 1 TD, 5 3pt FG, 2 Safety
0 TD + 2pt, 0 TD + FG, 2 TD, 1 3pt FG, 5 Safety
